,index,Method,Test Case,ID,Crashes,Non Crashes,Predicates,SLOC,Trace Analysis Time,Monitoring Time,Ranking Time,Tracing Time,Instructions Traced,Total Instructions,Time to Prepare For Tracing
0,0,aurora,cjpeg_divide_by_zero_trace,2,11,245.6,1.8,1.8,0.332,2.352,0,14.532,785.8,778.4,0
1,40,loc,cjpeg_divide_by_zero_trace,2,11,245.6,1,1,0.186,2.34,0,11.392,325.4,778.4,15.4762
2,20,basic block,cjpeg_divide_by_zero_trace,2,11,245.6,1,2,0.09,2.262,0,9.922,104.2,804.8,0
3,60,loc with source,cjpeg_divide_by_zero_trace,2,11,245.6,1,1,0.166,2.346,0,11.386,328,778.4,0.014
4,1,aurora,cjpeg_heap_buffer_overflow_trace,2,11,106.4,1,1,0.238,2.382,0.016,4.616,932.8,932.8,0
5,41,loc,cjpeg_heap_buffer_overflow_trace,2,11,106.4,1,1,0.104,2.198,0.008,3.956,325.2,932.8,12.8898
6,61,loc with source,cjpeg_heap_buffer_overflow_trace,2,11,106.4,1,1,0.11,2.236,0.008,3.978,325.2,932.8,0.01
7,21,basic block,cjpeg_heap_buffer_overflow_trace,2,11,106.4,14.4,10.6,0.066,2.126,0,3.77,125.6,946.4,0
8,2,aurora,ezxml_trace,2,20.4,601.2,2.6,1,2.978,2.49,0.014,45.176,1812.2,1803.4,0
9,62,loc with source,ezxml_trace,2,20.4,601.2,3,1,0.994,2.452,0,25.334,413.2,1806.6,0.01
10,22,basic block,ezxml_trace,2,20.4,601.2,4,1,0.592,2.588,0.002,22.982,218,1825.6,0
11,42,loc,ezxml_trace,2,20.4,601.2,3,1,0.972,2.448,0,25.056,415.6,1806.6,12.6002
12,3,aurora,fls_trace,2,88.6,322.2,4.4,2.6,8.396,3.696,0.056,88.85,10646,10646,0
13,63,loc with source,fls_trace,2,88.6,322.2,3.4,2.4,2.454,3.552,0.02,39.546,2594.4,10646,0.062
14,23,basic block,fls_trace,2,88.6,322.2,18.4,14.6,1.084,3.658,0.02,29.896,1068.4,10666,0
15,43,loc,fls_trace,2,88.6,322.2,3.4,2.4,2.538,3.554,0.024,39.05,2594.4,10646,68.5578
16,24,basic block,img2sixel_trace,2,16.6,101.4,16.2,14,0.108,3.712,0.01,20.622,1618.8,7570,0
17,4,aurora,img2sixel_trace,2,16.6,100,26.8,12.4,0.698,4.608,0.218,71.788,2604,2604,0
18,64,loc with source,img2sixel_trace,2,16.6,101.4,12,12,0.24,3.98,0.042,44.07,724,2604,0.028
19,44,loc,img2sixel_trace,2,16.6,101.4,12,12,0.238,3.85,0.052,41.538,724,2604,31.1866
20,45,loc,lua_trace,2,120.4,1103.8,43.8,42.4,12.884,27.1,0.268,237.3,2412,11240,28.2428
21,65,loc with source,lua_trace,2,120.4,1103.8,43.8,42.4,12.986,27.894,0.276,249.452,2416.8,11240,0.026
22,5,aurora,lua_trace,2,112.4,1103.8,118.6,53,52.394,59.44,1.434,526.03,11239,11239,0
23,25,basic block,lua_trace,2,120.4,1103.8,27.8,25.8,4.676,15.494,0.102,151.47,1429.6,7518.8,0
24,46,loc,matdump_trace,2,4.8,96.4,5.6,4.6,0.112,2.69,0.018,3.69,421.2,1471.8,158.1884
25,66,loc with source,matdump_trace,2,4.8,96.4,5.6,5.2,0.12,2.69,0.016,3.706,421.2,1471.8,0.05
26,6,aurora,matdump_trace,2,4.8,96.4,1.8,1.6,0.32,3.116,0.048,4.728,1471.8,1471.8,0
27,26,basic block,matdump_trace,2,4.8,96.4,2.6,2.6,0.074,2.568,0.002,3.386,175.6,1477.2,0
28,7,aurora,mruby_heap_buffer_overflow_trace,2,12,1129.2,1,1,128.988,577.74,0.844,1504.87,34415.2,34415.2,0
29,27,basic block,mruby_heap_buffer_overflow_trace,2,12,1129.2,1,1,8.296,86.6,0.066,224.404,2254.2,34606.6,0
30,47,loc,mruby_heap_buffer_overflow_trace,2,12,1129.2,1,1,30.78,146.89,0.174,448.392,7391.2,34415.2,78.7906
31,67,loc with source,mruby_heap_buffer_overflow_trace,2,12,1129.2,1,1,30.66,147.348,0.172,452.17,7402.2,34415.2,0.052
32,28,basic block,mruby_integer_overflow_trace,2,83,1094.6,167.6,139.8,10.298,567.578,0.156,261.522,2442.8,36567.6,0
33,48,loc,mruby_integer_overflow_trace,2,83,1094.6,2.2,2,36.4,527.848,0.43,528.014,7823.4,36353.6,81.4512
34,68,loc with source,mruby_integer_overflow_trace,2,83,1094.6,2.2,2,36.382,529.034,0.43,528.852,7823.4,36353.6,0.054
35,8,aurora,mruby_integer_overflow_trace,2,83,1094.6,3.8,2.6,149.98,1491.744,1.872,1876.7,36353.2,36353.2,0
36,49,loc,mruby_trace,2,83.6,1736.2,24.4,21.4,52.986,100.636,0.056,576.81,6049.8,28032.8,67.0194
37,29,basic block,mruby_trace,2,83.6,1736.2,16.2,15,12.384,22.552,0.022,281.022,2262.6,15045.6,0
38,9,aurora,mruby_trace,2,83.6,1736.2,74.6,35.2,209.004,166.436,0.318,1865.112,28032.8,28032.8,0
39,69,loc with source,mruby_trace,2,83.6,1736.2,24.4,21.4,52.674,101.13,0.056,578.86,6014.8,28032.8,0.046
40,30,basic block,mruby_uninitialized_variable_trace,2,47.8,920,1.6,1.6,7.006,500.226,0.232,184.67,2331.2,35182.4,0
41,70,loc with source,mruby_uninitialized_variable_trace,2,47.8,920,1.6,1.6,24.186,567.288,0.52,369.87,7531.2,34985.2,0.052
42,10,aurora,mruby_uninitialized_variable_trace,2,47.8,920,2,1.8,103.818,1484.18,2.966,1238.812,34985,34985,0
43,50,loc,mruby_uninitialized_variable_trace,2,47.8,920,1.6,1.6,24.17,567.728,0.522,367.294,7544,34985.2,77.7096
44,31,basic block,nm_trace,2,11.4,299.8,2.4,2.6,0.462,2.826,0,17.922,688.2,5643.2,0
45,71,loc with source,nm_trace,2,11.4,299.8,3,3,1.012,2.73,0,22.428,1669.4,5606.4,0.406
46,11,aurora,nm_trace,2,11.4,299.8,6.8,3.2,3.072,2.872,0.002,36.024,5606.4,5606.4,0
47,51,loc,nm_trace,2,11.4,299.8,3.2,3,1.016,2.712,0,21.82,1674.6,5606.4,142.1682
48,32,basic block,patch_trace,2,126.6,633.8,221.8,5,2.8575,2.29,0.005,56.926,1420.8,7211.8,0
49,72,loc with source,patch_trace,2,141.4,701.6,6.8,5,7.69666666666667,2.17666666666667,0.00333333333333333,74.618,936.2,4898.2,0.038
50,12,aurora,patch_trace,2,178.8,880.4,2.8,2.6,26.164,2.99,0.022,164.668,4904,4904,0
51,52,loc,patch_trace,2,126.6,633.8,222.8,4.2,6.16,2.3275,0.0025,73.78,1220,4531,32.5224
52,53,loc,perl_trace,2,60.8,1800.4,43,28,173.352,117.156,1.84,437.222,11006.4,25885,418.3332
53,13,aurora,perl_trace,2,60.8,1800.4,112.2,33,341.948,435.232,5.428,786.61,25882.2,25882.2,0
54,73,loc with source,perl_trace,2,60.8,1800.4,43,28,172.318,119.998,1.784,434.45,11005.8,25883.8,0.084
